"SQGDP9 Real GDP by state 1/"
"(Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4"
"01000","Alabama","3","      Agriculture, forestry, fishing and hunting",2482.4,1972.4,1499.8,1254.1,2905.1,2884.9,2835.7,2714.7
"01000","Alabama","6","      Mining, quarrying, and oil and gas extraction",2781.9,3013.2,2922.7,2849.5,2629.5,2204.1,2161.9,2155.4
"01000","Alabama","10","      Utilities",5549.3,6092.1,5701.3,5412.9,5408.5,5857.6,6048.8,5673.2
"01000","Alabama","11","      Construction",6971.8,6915.4,6767.5,6859.8,6286.0,6047.5,5871.0,5978.9
"01000","Alabama","12","      Manufacturing",32414.7,32120.7,31336.4,31811.8,33221.7,33748.8,33238.1,33166.6
"01000","Alabama","34","      Wholesale trade",10398.5,10749.4,10652.8,10361.5,11131.7,11482.8,11654.7,11883.0
"01000","Alabama","35","      Retail trade",12732.0,12427.5,12565.1,12476.4,13412.4,13660.2,13531.3,13844.6
"01000","Alabama","36","      Transportation and warehousing",4780.8,4843.7,4767.8,4801.9,4694.4,4844.6,4785.4,4809.0
"01000","Alabama","45","      Information",4284.0,4339.3,4229.9,4143.1,4661.0,4617.0,4652.4,4641.4
"01000","Alabama","51","      Finance and insurance",9811.1,10518.6,11027.0,10920.1,10031.6,9907.0,10051.0,10275.0
"01000","Alabama","56","      Real estate and rental and leasing",20227.7,20185.4,20163.1,20079.1,20390.6,20468.6,20433.0,20338.8
"01000","Alabama","60","      Professional, scientific, and technical services",11026.1,11210.0,11170.8,10920.6,11698.2,11673.3,11776.6,11924.1
"01000","Alabama","64","      Management of companies and enterprises",1821.2,1874.6,1801.6,1940.7,2002.7,1979.3,1957.0,2119.5
"01000","Alabama","65","      Administrative and support and waste management and remediation services",4864.7,4826.4,4751.3,4771.6,4797.0,4811.7,4776.3,4836.5
"01000","Alabama","69","      Educational services",1199.0,1211.9,1195.8,1184.8,1235.6,1245.3,1237.3,1229.8
"01000","Alabama","70","      Health care and social assistance",13491.6,13357.7,13249.8,13479.1,14547.2,14665.3,14653.2,14627.3
"01000","Alabama","76","      Arts, entertainment, and recreation",682.9,678.5,670.0,651.8,659.8,666.2,688.6,715.8
"01000","Alabama","79","      Accommodation and food services",4747.6,4690.3,4659.3,4716.5,5108.9,5050.1,5032.9,5111.8
"01000","Alabama","83","  Government and government enterprises",32409.2,31941.9,31641.5,31818.0,31157.5,31202.6,31490.4,31827.6
"02000","Alaska","3","      Agriculture, forestry, fishing and hunting",557.2,510.2,480.9,441.7,375.8,347.0,364.1,400.3
"02000","Alaska","6","      Mining, quarrying, and oil and gas extraction",17480.6,19087.1,18471.8,17811.0,14569.7,13027.4,12544.3,12554.6
"02000","Alaska","10","      Utilities",735.1,753.7,755.2,722.3,708.5,703.2,732.5,742.7
"02000","Alaska","11","      Construction",2048.2,2042.8,1987.0,1950.2,1722.9,1674.5,1660.1,1582.4
"02000","Alaska","12","      Manufacturing",1048.8,965.5,922.7,995.8,1876.7,1794.7,1629.5,1644.0
"02000","Alaska","34","      Wholesale trade",1177.4,1166.3,1161.5,1151.9,1209.6,1239.1,1227.3,1212.2
"02000","Alaska","35","      Retail trade",2039.2,2012.3,2045.6,2058.3,2172.5,2179.7,2146.6,2147.7
"02000","Alaska","36","      Transportation and warehousing",5337.2,5480.5,5514.1,5400.2,5691.4,5686.8,5748.1,5661.4
"02000","Alaska","45","      Information",1215.3,1149.2,1176.3,1149.7,1473.6,1485.4,1498.9,1458.6
"02000","Alaska","51","      Finance and insurance",1217.2,1136.4,1187.6,1133.6,1011.1,985.2,1023.3,1081.5
"02000","Alaska","56","      Real estate and rental and leasing",4718.0,4702.7,4712.0,4648.3,4729.0,4748.3,4710.7,4620.4
"02000","Alaska","60","      Professional, scientific, and technical services",2067.2,2132.1,2125.3,2062.5,1879.3,1846.5,1790.8,1791.8
"02000","Alaska","64","      Management of companies and enterprises",352.5,362.1,347.7,371.8,368.4,350.0,362.0,354.9
"02000","Alaska","65","      Administrative and support and waste management and remediation services",1060.1,1077.1,1073.9,1062.9,941.4,964.1,942.0,947.5
"02000","Alaska","69","      Educational services",181.9,183.2,182.7,178.2,176.3,177.6,179.8,174.6
"02000","Alaska","70","      Health care and social assistance",3278.8,3277.3,3329.2,3333.9,3627.4,3625.6,3686.2,3735.2
"02000","Alaska","76","      Arts, entertainment, and recreation",264.3,263.4,266.7,261.7,275.1,280.6,277.4,287.7
"02000","Alaska","79","      Accommodation and food services",1290.0,1305.8,1292.8,1331.2,1371.2,1360.3,1330.2,1310.0
"02000","Alaska","83","  Government and government enterprises",10253.5,10245.1,10351.9,10126.1,9688.6,9707.8,9599.1,9696.2
"04000","Arizona","3","      Agriculture, forestry, fishing and hunting",1866.0,1908.8,1957.3,1883.4,3426.3,3422.1,3578.5,3784.4
"04000","Arizona","6","      Mining, quarrying, and oil and gas extraction",6912.5,6786.7,6048.2,5985.5,4499.6,4524.1,4598.6,4954.0
"04000","Arizona","10","      Utilities",6044.6,6396.3,6058.4,6304.9,6298.6,6138.6,6214.5,6254.3
"04000","Arizona","11","      Construction",9260.2,9143.8,9235.2,9576.9,10478.6,10789.9,11216.1,11187.7
"04000","Arizona","12","      Manufacturing",25342.7,25014.4,24205.7,23137.6,25797.4,26060.8,26003.6,25318.4
"04000","Arizona","34","      Wholesale trade",15918.3,16478.0,16067.1,18059.1,16831.5,17040.7,17441.6,17558.7
"04000","Arizona","35","      Retail trade",20782.8,19916.0,20221.2,19894.7,22033.1,22244.9,22238.5,22498.1
"04000","Arizona","36","      Transportation and warehousing",8145.3,8234.2,8205.4,8037.2,8428.6,8740.9,8689.1,9096.2
"04000","Arizona","45","      Information",7157.9,7446.4,7229.4,7181.0,10523.7,10971.9,12015.7,11996.5
"04000","Arizona","51","      Finance and insurance",17693.3,17984.0,18943.7,18163.8,17722.2,18492.0,18788.1,19115.2
"04000","Arizona","56","      Real estate and rental and leasing",38074.1,38455.5,38688.8,38635.9,44232.4,44650.4,44827.9,44871.5
"04000","Arizona","60","      Professional, scientific, and technical services",15230.5,15451.3,15480.4,15320.6,17010.8,17104.8,16958.2,16991.8
"04000","Arizona","64","      Management of companies and enterprises",2949.2,3080.0,2868.0,3312.3,3625.2,3838.6,3895.6,4016.8
"04000","Arizona","65","      Administrative and support and waste management and remediation services",11141.7,10929.8,11087.8,11065.0,12323.1,12524.3,12784.0,12992.7
"04000","Arizona","69","      Educational services",3691.2,3785.6,3640.4,3608.4,3489.7,3566.2,3608.0,3566.2
"04000","Arizona","70","      Health care and social assistance",22590.2,22460.4,22376.7,22605.1,25400.1,25215.3,25431.0,25469.7
