"SAINC30 Economic Profile"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2012","2016"
"01000","Alabama","","Place of residence profile","",""
"01000","Alabama","10","Personal income (millions of dollars)",172804.1,192281.9
"01000","Alabama","","Derivation of personal income","",""
"01000","Alabama","45","Net earnings by place of residence",103069.4,112735.0
"01000","Alabama","","Per capita incomes (dollars)","",""
"01000","Alabama","110","Per capita personal income 4/",35884,39536
"01000","Alabama","120","Per capita net earnings 4/",21403,23180
"01000","Alabama","","Place of work profile (millions of dollars)","",""
"01000","Alabama","180","Earnings by place of work",112660.6,125150.5
"01000","Alabama","190","  Wages and salaries",81166.9,90591.1
"01000","Alabama","290","Average earnings per job (dollars)",44998,47771
"02000","Alaska","","Place of residence profile","",""
"02000","Alaska","10","Personal income (millions of dollars)",39169.2,41745.6
"02000","Alaska","","Derivation of personal income","",""
"02000","Alaska","45","Net earnings by place of residence",26752.6,27300.3
"02000","Alaska","","Per capita incomes (dollars)","",""
"02000","Alaska","110","Per capita personal income 4/",53624,56302
"02000","Alaska","120","Per capita net earnings 4/",36625,36820
"02000","Alaska","","Place of work profile (millions of dollars)","",""
"02000","Alaska","180","Earnings by place of work",29655.7,30550.5
"02000","Alaska","190","  Wages and salaries",19588.2,20495.9
"02000","Alaska","290","Average earnings per job (dollars)",64578,66773
"04000","Arizona","","Place of residence profile","",""
"04000","Arizona","10","Personal income (millions of dollars)",236846.1,283199.3
"04000","Arizona","","Derivation of personal income","",""
"04000","Arizona","45","Net earnings by place of residence",144295.8,170410.7
"04000","Arizona","","Per capita incomes (dollars)","",""
"04000","Arizona","110","Per capita personal income 4/",36132,40801
"04000","Arizona","120","Per capita net earnings 4/",22013,24551
"04000","Arizona","","Place of work profile (millions of dollars)","",""
"04000","Arizona","180","Earnings by place of work",159469.6,190712.0
"04000","Arizona","190","  Wages and salaries",118948.3,139338.8
"04000","Arizona","290","Average earnings per job (dollars)",48390,52308
"05000","Arkansas","","Place of residence profile","",""
